building_guid,probability
fb6a9377-e813-45dc-8274-e38fa0b8cb14,0.9
d3b5254c-3465-42c3-b9ac-94f9ade06b39,0.7
96bc9d1e-fd7a-41d2-8b6d-344e5a9d8d91,0.7
cd463edc-7ab0-487f-9f60-c89a874fab1b,0.9
ee84989c-d262-41c9-b468-73064e874571,1.0
48f14ade-5129-4a02-a850-341e4b0f3281,0.9
b54d6000-af7a-45da-a5d9-cc350fbddad1,0.6
1070af1f-a6cc-42c9-b8b3-4511369ad9a5,0.6
707d2b96-394d-428f-8c31-5d4ea4e69910,0.0
2de665c3-9e0f-47fc-929b-d9886e5e76b0,1.0
b1ce02f5-3276-412d-b0b2-ae364c718dbb,1.0
9e7abbfe-fc73-4885-9947-3ebfab9360fa,1.0
a5b92629-1bf5-4908-8841-8ee1808c80f7,0.9
6b5e309b-cf57-49ec-b559-a01b2e8f7e11,1.0
a10d07dd-6f9f-46eb-8512-cdc0e725de33,1.0
22b55934-32eb-41a6-9cd8-4b644ddc7511,1.0
52271f3c-bffb-4912-ac14-354ae89096ef,0.0
247b4534-a5db-4414-af74-2b9c5b45e85e,0.4
5eaafba2-d603-489b-a04f-50ba41570313,0.0
76536d7e-2556-45d5-8e7d-62fad5ec5c3d,0.1
65bdf99a-4d92-48bb-95bb-0630491a2d0d,1.0
5bf2c0de-7e1e-4996-90d8-c0e4e96d6088,1.0
8e9b9806-14f2-4388-be7f-ceb6eaa721a3,0.1
4666ee58-c9f3-41af-9b2a-fa621f5c4e64,1.0
c58d4ea5-2fe4-4c95-9322-c627fdce4dfd,0.0
c27e361d-75c1-47cc-a486-b30433af2ddb,0.8
c4275ac7-5050-437c-a1dd-c7e6bd4d5dfd,0.0
ad926ab0-947f-4f7c-9962-4d181b7e8a91,0.1
0856aa8a-7fca-43ad-97c2-2f682e9e6b2b,1.0
90eafe5b-30a8-4fd6-9009-ce2db799153e,1.0
2a212a69-f4e2-44d4-85f0-970356d0c416,1.0
3303ce90-af53-4800-b74f-4c8fc1c0247b,1.0
a4b976d7-4b47-4803-8d50-5d684a21de0c,1.0
51ef2fd3-1f29-4776-acaf-5f68d3c3a6f9,1.0
0435d3ef-116b-45f1-8ac8-40d81a3b9a03,1.0
28f8c3e5-e707-4439-8686-6fdf6f67e382,1.0
9d54414d-17c9-45a9-9408-f2d648d33c9c,0.7
e9b16a09-abc5-44ed-862b-4ccd0c0db150,1.0
30ac8366-62e4-4d71-b2cc-acfa83055f20,1.0
3be8f346-8dad-4f8e-b3e9-f3d3633a7fdd,0.5
0ee7324b-0cdb-43cf-b47c-9c72cff1e944,1.0
4c0e40d2-7cd6-4cc6-ba31-26e7febed989,0.8
21368baf-5786-409e-9a1f-0d7fb2548639,0.9
54abd9a8-88a9-462f-9df8-247209fea05c,0.0
d8e7caca-5ae1-4d9a-a58d-75141a13e191,0.6
234b454a-27c9-4024-8a9b-c3ab2d08f2a6,0.5
a30574df-c4bf-4dd5-8b5b-b1c85f1f0270,0.5
