guid,retrofit_key,retrofit_value
fd7a3039-d528-4240-b3b6-638930b67a0e,Wood or Metal Deck Diaphragms Retrofitted,
71458bf0-0baa-4628-bfd1-02be773dfeef,Wood or Metal Deck Diaphragms Retrofitted,
0b37eb42-712b-4708-b505-a80bd1749dbb,Wood or Metal Deck Diaphragms Retrofitted,
0a172142-b6e0-4bcf-ba5e-3ab7023ee4bb,Wood or Metal Deck Diaphragms Retrofitted,
65c65b3e-8e08-464c-a06a-caf314e49796,Wood or Metal Deck Diaphragms Retrofitted,
73ccbd18-7dbd-4441-a90b-a4596401f513,Wood or Metal Deck Diaphragms Retrofitted,
1ff2fab8-87ee-474b-9c62-111c9cdc1998,Wood or Metal Deck Diaphragms Retrofitted,
669d2e31-73bb-45b4-913a-812f3b15a3c9,Wood or Metal Deck Diaphragms Retrofitted,
49e8c57f-2824-411d-8ca5-01fc74f26771,Wood or Metal Deck Diaphragms Retrofitted,
f7eedfa0-7539-4df4-a8ff-1b096d73d597,Wood or Metal Deck Diaphragms Retrofitted,
e851f03c-a7a4-42b1-af77-9fa19ccb17b5,Wood or Metal Deck Diaphragms Retrofitted,
6bc43991-1775-432f-b6fd-dea392f4e7c7,Wood or Metal Deck Diaphragms Retrofitted,
97517292-28bf-434c-9dda-93e8776ee57b,Wood or Metal Deck Diaphragms Retrofitted,
bcbd3684-705f-4f97-b225-b7b69ced87fb,Wood or Metal Deck Diaphragms Retrofitted,
1f470a01-dd08-437f-a0a6-aa2c20acb101,Wood or Metal Deck Diaphragms Retrofitted,
8306f1e8-b65b-487d-ade2-54810313ca57,Wood or Metal Deck Diaphragms Retrofitted,
86240e8b-0453-4172-b9dd-3e04d2ba4f4c,Wood or Metal Deck Diaphragms Retrofitted,
fa33f7a1-d127-4774-a764-e87eb497a51d,Wood or Metal Deck Diaphragms Retrofitted,
f5b751ac-2266-4657-afc5-50f52d9cf65e,Wood or Metal Deck Diaphragms Retrofitted,
b5081493-f3f9-4bdb-bed6-a8e7ac8c2ad4,Wood or Metal Deck Diaphragms Retrofitted,
972d42fb-d429-4b7a-b37d-229118317575,Wood or Metal Deck Diaphragms Retrofitted,
ce091bd4-ed15-452f-8a80-60ee62f1722f,Wood or Metal Deck Diaphragms Retrofitted,
